ISO3,Year,predicted_probability
CZE,2006,0.02025262073477774
CZE,2007,0.02025262073477774
CZE,2008,0.020969498924463675
CZE,2009,0.020430433466738566
CZE,2010,0.02040467023006157
CZE,2011,0.020291122324070997
CZE,2012,0.020500109417541535
CZE,2013,0.02025262073477774
CZE,2014,0.020577207944265492
CZE,2015,0.02025262073477774
CZE,2016,0.02025262073477774
CZE,2017,0.02040774153264937
CZE,2018,0.020526050258699625
DEU,1996,0.02074582239909342
DEU,1998,0.020309737558751373
DEU,2000,0.02025262073477774
DEU,2002,0.02025262073477774
DEU,2003,0.02025262073477774
DEU,2004,0.02025262073477774
DEU,2005,0.02025262073477774
DEU,2006,0.02025262073477774
DEU,2007,0.02025262073477774
DEU,2008,0.02025262073477774
DEU,2009,0.02025262073477774
DEU,2010,0.020309737558751373
DEU,2011,0.02025262073477774
DEU,2012,0.02077337783703082
DEU,2013,0.020561090013470115
DEU,2014,0.02025262073477774
DEU,2015,0.02025262073477774
DEU,2016,0.02025262073477774
DEU,2017,0.02025262073477774
DEU,2018,0.020561090013470115
DJI,1996,0.0244608946694849
DJI,1998,0.027849138803231272
DJI,2000,0.02708541965256012
DJI,2002,0.021508972629991786
DJI,2003,0.021443365043010577
DJI,2004,0.026881159833805148
DJI,2005,0.024032133051406352
DJI,2006,0.021858331712955214
DJI,2007,0.021035912040443795
DJI,2008,0.03810992404723983
DJI,2009,0.027592092151915566
DJI,2010,0.023463771195034358
DJI,2011,0.02227588657259164
DJI,2012,0.02241939589026164
DJI,2013,0.02378658765475657
DJI,2014,0.02193027809733093
DJI,2015,0.021973786320464938
DJI,2016,0.02356666322391923
DJI,2017,0.021369273861256265
DJI,2018,0.022381485934287487
DNK,1996,0.02025262073477774
DNK,1998,0.020438797780279665
DNK,2000,0.02078767553158119
DNK,2002,0.020450745243600865
DNK,2003,0.020887528307798057
DNK,2004,0.02054264155482743
DNK,2005,0.02025262073477774
DNK,2006,0.020353507374088798
DNK,2007,0.02025262073477774
DNK,2008,0.02025262073477774
DNK,2009,0.02025262073477774
DNK,2010,0.020561090013470115
DNK,2011,0.02025262073477774
DNK,2012,0.020742262195683817
DNK,2013,0.020887528307798057
DNK,2014,0.020561090013470115
DNK,2015,0.02025262073477774
DNK,2016,0.0203739145322416
DNK,2017,0.02025262073477774
DNK,2018,0.02025262073477774
DOM,1996,0.02055184398360976
DOM,1998,0.021006231631391436
DOM,2000,0.022229492977349954
DOM,2002,0.020917226881922324
DOM,2003,0.026333960760075607
DOM,2004,0.024200576465180184
DOM,2005,0.027347478413390358
DOM,2006,0.02130019346811216
DOM,2007,0.020729145196664796
DOM,2008,0.02186000130625826
DOM,2009,0.021899459972321372
DOM,2010,0.02099077290655715
DOM,2011,0.021269781278587956
DOM,2012,0.020667857527530347
DOM,2013,0.02094311145766251
DOM,2014,0.02047342795497432
DOM,2015,0.020686047640532543
DOM,2016,0.020884756745000996
DOM,2017,0.020331875255184963
DOM,2018,0.020293373665891703
DZA,1996,0.04444846468370859
DZA,1998,0.054834570609185736
DZA,2000,0.039922776161138394
DZA,2002,0.02434799740456763
DZA,2003,0.2860047864097255
DZA,2004,0.03396360808258674
DZA,2005,0.02615566329935046
DZA,2006,0.02503482461290737
DZA,2007,0.021898113550379045
DZA,2008,0.03170694201007406
DZA,2009,0.026414415998176444
DZA,2010,0.026486849314480653
DZA,2011,0.02488977664182194
DZA,2012,0.024399585645417745
DZA,2013,0.025284814662083283
DZA,2014,0.02343540443811461
DZA,2015,0.025435743400857524
DZA,2016,0.03360933457853199
DZA,2017,0.031111301417545766
DZA,2018,0.02937815146427425
ECU,1996,0.020634688444301993
ECU,1998,0.02025262073477774
ECU,2000,0.02306592928583227
ECU,2002,0.02468265113995603
ECU,2003,0.020970882422751958
ECU,2004,0.020621853257114738
ECU,2005,0.020594415161126558
ECU,2006,0.020456318648619107
ECU,2007,0.02025262073477774
ECU,2008,0.02436663679253115
ECU,2009,0.021113985822181325
ECU,2010,0.021965177686517175
ECU,2011,0.020849343081750613
ECU,2012,0.02125332325264628
ECU,2013,0.021052084655877226
ECU,2014,0.0204233696325419
ECU,2015,0.020348059922257706
ECU,2016,0.02040467023006157
ECU,2017,0.02025262073477774
ECU,2018,0.02025262073477774
EGY,1996,0.0224713096258228
EGY,1998,0.024764844474244502
EGY,2000,0.023195026462678747
EGY,2002,0.02591819952280229
EGY,2003,0.025421997142089637
EGY,2004,0.3574849301233209
EGY,2005,0.021826495852227207
EGY,2006,0.021566318392269804
EGY,2007,0.040154374533301375
EGY,2008,0.023932565886546787
EGY,2009,0.022983993369198933
EGY,2010,0.02216286243411439
EGY,2011,0.4540259987127288
EGY,2013,0.02571870564927547
EGY,2014,0.033364133232773104
EGY,2015,0.023070615335243336
EGY,2016,0.021413437706915363
EGY,2017,0.02834879486036997
EGY,2018,0.026687666513560606
ERI,1996,0.030567146860121474
ERI,1998,0.03374549481452343
ERI,2000,0.039330746126329454
ERI,2002,0.021600131442490896
ERI,2003,0.0236878839801855
ERI,2004,0.022086190910254603
ERI,2005,0.023023319887483306
ERI,2006,0.022522898123557403
ERI,2007,0.020787165108736242
ERI,2008,0.02430957640995385
ERI,2009,0.022640240806894325
ERI,2010,0.024796114289285864
ERI,2011,0.024734115284859692
ERI,2012,0.020615020255772897
ERI,2013,0.02103923919964758
ERI,2014,0.021188770018285553
ERI,2015,0.02206836445980503
ERI,2016,0.023129025635445572
ERI,2017,0.020826548512775666
ERI,2018,0.020880388776817846
ESP,1996,0.020722314282939216
ESP,1998,0.02126964772904597
ESP,2000,0.02054264155482743
ESP,2002,0.020663935352291295
ESP,2003,0.02042529109320795
ESP,2004,0.020561090013470115
ESP,2005,0.02025262073477774
ESP,2006,0.020329809089456728
ESP,2007,0.02025262073477774
ESP,2008,0.020641351865871353
ESP,2009,0.02050862817196043
ESP,2010,0.020552452423520714
ESP,2011,0.020295624445729233
ESP,2012,0.02025262073477774
ESP,2013,0.020716210811341743
ESP,2014,0.02025262073477774
ESP,2015,0.02051482549997969
ESP,2016,0.02040774153264937
ESP,2017,0.02032408545501719
ESP,2018,0.02040774153264937
EST,1996,0.020697762352699062
EST,1998,0.021378926881028517
EST,2000,0.023338343681069476
EST,2002,0.02065297465253321
EST,2003,0.02355480100967435
EST,2004,0.021838449737475788
EST,2005,0.020487550290712198
EST,2006,0.021512079140639587
EST,2007,0.02125097056216164
EST,2008,0.022484225990566053
EST,2009,0.022080403759790725
EST,2010,0.025911370595693307
EST,2011,0.02123233869575389
EST,2012,0.02025262073477774
EST,2013,0.0206382783681491
EST,2014,0.02048374353793549
EST,2015,0.02048374353793549
EST,2016,0.020739322247769795
EST,2017,0.020883688502359502
EST,2018,0.021139998122889022
ETH,1996,0.03995702065579402
ETH,1998,0.0304025920391383
ETH,2000,0.0675715555994338
ETH,2002,0.027961750403342405
ETH,2003,0.02623973678114196
ETH,2004,0.32038962775224206
ETH,2005,0.025529233010920957
ETH,2006,0.03741991610035878
ETH,2007,0.026480116917458798
ETH,2008,0.041793691133652826
ETH,2009,0.024480653988832295
ETH,2010,0.024210836540839036
ETH,2011,0.028371827190700537
ETH,2012,0.03001843508621219
ETH,2013,0.03260756096920639
ETH,2014,0.03597364320291435
ETH,2015,0.05582390935592411
ETH,2016,0.035170203342417765
ETH,2017,0.433244346084388
ETH,2018,0.02849888495122126
FIN,1996,0.020573428039160634
FIN,1998,0.020303997295744086
FIN,2000,0.02025262073477774
FIN,2002,0.02040774153264937
FIN,2003,0.02040774153264937
FIN,2004,0.020303997295744086
FIN,2005,0.02025262073477774
FIN,2006,0.02025262073477774
FIN,2007,0.02054264155482743
FIN,2008,0.02025262073477774
FIN,2009,0.020697762352699062
FIN,2010,0.02025262073477774
FIN,2011,0.02040774153264937
FIN,2012,0.02025262073477774
FIN,2013,0.020851110833519804
FIN,2014,0.02025262073477774
FIN,2015,0.02025262073477774
FIN,2016,0.02025262073477774
FIN,2017,0.02025262073477774
FIN,2018,0.02025262073477774
FJI,1996,0.024696748048337824
FJI,1998,0.023245926320722626
FJI,2002,0.02038986244825542
FJI,2003,0.0237119792822026
FJI,2004,0.025228916551625027
FJI,2005,0.20267737548897957
FJI,2006,0.021035315079707056
FJI,2007,0.020956414922363775
FJI,2008,0.021339615127207102
FJI,2009,0.020833887102845467
FJI,2010,0.02054264155482743
FJI,2011,0.02031431210815583
FJI,2012,0.02072200127606447
FJI,2013,0.02025262073477774
FJI,2014,0.02074695833136328
FJI,2015,0.020565865949123137
FJI,2016,0.02040774153264937
FJI,2017,0.021157118897070355
FJI,2018,0.02025262073477774
FRA,1996,0.023953836736691103
FRA,1998,0.020425248276936696
FRA,2000,0.02025262073477774
FRA,2002,0.02054264155482743
FRA,2003,0.02025262073477774
FRA,2004,0.02025262073477774
FRA,2005,0.02025262073477774
FRA,2006,0.02025262073477774
FRA,2007,0.02025262073477774
FRA,2008,0.02025262073477774
FRA,2009,0.02025262073477774
FRA,2010,0.02025262073477774
FRA,2011,0.020303997295744086
FRA,2012,0.02025262073477774
FRA,2013,0.02025262073477774
FRA,2014,0.02040774153264937
FRA,2015,0.021989885652572438
FRA,2016,0.0203739145322416
